BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Cabinet2,1,0,24400*12200,2.9768E8,26,2.913322E8,97.86757592045149%,
Cabinet2,2,0,24400*12200,2.9768E8,17,2.946121E8,98.96939666756248%,
Cabinet2,3,0,24400*12200,2.9768E8,27,2.920882E8,98.12153990862672%,
Cabinet2,4,0,24400*12200,2.9768E8,9,5.26341E7,17.681436441816714%,
Cabinet2,5,0,24400*12200,2.9768E8,18,2.9514055E8,99.14691951088416%,
Cabinet2,6,0,24400*12200,2.9768E8,12,2.961406E8,99.48286750873422%,
Cabinet2,7,0,24400*12200,2.9768E8,16,2.923632E8,98.21392098898146%,
Cabinet2,8,0,24400*12200,2.9768E8,21,2.927515E8,98.34436307444236%,
Cabinet2,9,0,24400*12200,2.9768E8,16,2.929140775E8,98.39897792932007%,
Cabinet2,10,0,24400*12200,2.9768E8,15,2.95719E8,99.34123891427036%,
Cabinet2,11,0,24400*12200,2.9768E8,18,2.955616E8,99.28836334318731%,
Cabinet2,12,0,24400*12200,2.9768E8,17,2.953328E8,99.21150228433217%,
Cabinet2,13,0,24400*12200,2.9768E8,19,2.9496005E8,99.08628392905132%,
Cabinet2,14,0,24400*12200,2.9768E8,16,2.936408E8,98.64310669174952%,
Cabinet2,15,0,24400*12200,2.9768E8,29,2.923538E8,98.21076323568934%,
Cabinet2,16,0,24400*12200,2.9768E8,25,2.9190105E8,98.0586703843053%,
Cabinet2,17,1,24400*12200,2.9768E8,9,2.788347E8,93.66927573233001%,
Cabinet2,18,1,24400*12200,2.9768E8,11,2.857168E8,95.98118785272776%,
Cabinet2,19,1,24400*12200,2.9768E8,7,2.924401E8,98.23975409836065%,
Cabinet2,20,1,24400*12200,2.9768E8,9,2.83047E8,95.08431873152378%,
Cabinet2,21,1,24400*12200,2.9768E8,9,2.820924E8,94.76363880677236%,
Cabinet2,22,1,24400*12200,2.9768E8,7,2.818096E8,94.66863746304756%,
Cabinet2,23,1,24400*12200,2.9768E8,8,2.844603E8,95.5590902983069%,
Cabinet2,24,1,24400*12200,2.9768E8,9,2.822812E8,94.82706261757592%,
Cabinet2,25,1,24400*12200,2.9768E8,4,2.779208E8,93.3622682074711%,
Cabinet2,26,1,24400*12200,2.9768E8,7,2.830283E8,95.07803681805966%,
Cabinet2,27,1,24400*12200,2.9768E8,7,2.897528E8,97.3370061811341%,
Cabinet2,28,1,24400*12200,2.9768E8,9,2.810262E8,94.405468959957%,
Cabinet2,29,1,24400*12200,2.9768E8,6,1.401928E8,47.09513571620533%,
Cabinet2,30,1,24400*12200,2.9768E8,9,2.859533E8,96.06063558183284%,
Cabinet2,31,1,24400*12200,2.9768E8,11,2.86121E8,96.11697124428918%,
Cabinet2,32,1,24400*12200,2.9768E8,6,2.7482075E8,92.32086468691213%,
Cabinet2,33,1,24400*12200,2.9768E8,11,2.836908E8,95.30059123891427%,
Cabinet2,34,1,24400*12200,2.9768E8,6,2.709915E8,91.03450013437248%,
Cabinet2,35,1,24400*12200,2.9768E8,12,2.773603E8,93.17397876914808%,
Cabinet2,36,1,24400*12200,2.9768E8,9,2.762737E8,92.8089559258264%,
Cabinet2,37,1,24400*12200,2.9768E8,4,2.715886E8,91.23508465466273%,
Cabinet2,38,1,24400*12200,2.9768E8,8,2.754302E8,92.5255979575383%,
Cabinet2,39,1,24400*12200,2.9768E8,12,2.843954E8,95.53728836334318%,
Cabinet2,40,1,24400*12200,2.9768E8,9,2.7507845E8,92.40743415748454%,
Cabinet2,41,1,24400*12200,2.9768E8,10,2.822654E8,94.82175490459554%,
Cabinet2,42,1,24400*12200,2.9768E8,14,2.811283E8,94.4397675356087%,
