Container length: 24400
Container width: 12200
Boxes Volume: 2.9292228E8
Container Volume: 297680000
Utilization: 98.40173340499865

Packed Boxes: 17
format: x y length width
0 0  4570 5620
0 5630  4050 6570
4050 6580  880 5620
4570 0  7810 2965
4930 5630  4050 6570
4570 2965  7610 2575
8980 8940  8720 3260
8980 5680  8720 3260
12380 0  5404 4700
12180 4700  5404 880
17700 6580  4185 5620
17784 0  6570 4050
17784 4050  5590 1550
21885 6610  1550 5590
17700 5600  5404 880
23435 6797  880 5403
23435 4050  910 2580

numOfBlemishes: 0
