Container length: 24400
Container width: 12200
Boxes Volume: 2.885638E8
Container Volume: 297680000
Utilization: 96.93758398280032

Packed Boxes: 19
format: x y length width
0 0  5670 4210
18690 0  5710 5180
18690 7020  5710 5180
0 7020  5710 5180
0 4210  3400 2760
18590 5180  5810 1080
16000 6340  8400 680
5670 0  7700 3030
5710 7500  4740 4700
10990 9370  7700 2830
13420 0  5270 4180
3400 4210  3880 2760
10980 8290  7710 1080
5670 3030  7710 1080
10980 7210  7710 1080
9980 4180  8710 680
9980 4860  8610 1080
7280 4110  2110 3370
9390 6130  6610 1080

numOfBlemishes: 0
