Container length: 24400
Container width: 12200
Boxes Volume: 2.94889E8
Container Volume: 297680000
Utilization: 99.06241601719968

Packed Boxes: 16
format: x y length width
0 0  4030 3580
14220 0  10180 4310
15130 6030  9270 6170
0 7460  8600 4740
0 3580  3880 2760
4030 0  5090 4180
15320 4310  9080 630
0 6380  8610 1080
15480 4940  8920 1080
3880 4180  7710 1080
8600 7490  5670 4710
9120 0  5090 4180
3880 5260  7710 1080
14450 4490  680 7710
8610 6410  5710 1080
11620 4310  2830 2100

numOfBlemishes: 0
