Container length: 24400
Container width: 12200
Boxes Volume: 2.892414E8
Container Volume: 297680000
Utilization: 97.16521096479441

Packed Boxes: 17
format: x y length width
20820 0  3580 7080
20820 8620  3580 3580
13740 0  7080 5680
13740 6520  7080 5680
6660 0  7080 5680
6660 6520  7080 5680
3780 0  2880 1580
980 5120  5680 7080
200 0  3580 3580
0 8470  880 3730
0 3580  6610 680
20970 7540  3430 1080
0 4260  680 4210
680 4260  5710 680
3780 1580  2830 1700
14410 5680  6410 680
6660 5680  7710 680

numOfBlemishes: 0
