Container length: 24400
Container width: 12200
Boxes Volume: 2.926986E8
Container Volume: 297680000
Utilization: 98.32659231389411

Packed Boxes: 16
format: x y length width
0 0  16160 4750
18690 7020  5710 5180
0 7030  5710 5170
18170 0  6230 3750
16700 3750  7700 3250
0 4750  8010 1580
0 6350  7710 680
8100 11120  10590 1080
5710 7040  1490 5160
17290 0  880 3730
10090 8090  8600 3030
16410 0  880 3730
7200 7100  2660 4020
9880 7010  8810 1080
8090 4750  8610 1080
8090 5930  8610 1080

numOfBlemishes: 0
