BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Others1,6,0,066579020,20030,6940,0,422.0,526.0,2.21972E7,0,0
Others1,6,0,066667122,18550,4460,0,510.0,188.0,9588000.0,0,0
Others1,6,0,066643096,23815,0,90,658.0,58.0,3816400.0,0,0
Others1,7,0,066629078,0,0,90,572.0,594.5,3.40054E7,0,0
Others1,7,0,066630079,0,6255,0,572.0,594.5,3.40054E7,0,0
Others1,7,0,066625074,5720,6480,90,572.0,595.0,3.4034E7,0,0
Others1,7,0,066671127,5945,0,0,658.0,58.0,3816400.0,0,0
Others1,7,0,066636087,5945,580,90,488.0,595.0,2.9036E7,0,0
Others1,7,0,066664119,11670,10320,0,408.0,188.0,7670400.0,0,0
Others1,7,0,066665120,11895,580,90,408.0,188.0,7670400.0,0,0
