Container length: 24400
Container width: 12200
Boxes Volume: 2.950349E8
Container Volume: 297680000
Utilization: 99.11142837946788

Packed Boxes: 16
format: x y length width
0 0  5355 7110
9180 0  15220 5240
15280 8300  9120 3900
0 8120  5480 4080
9720 7020  14680 1280
0 7140  9600 980
9620 6140  14780 880
20680 5240  3720 880
5355 0  3600 1080
5480 8300  4510 3900
5355 1080  3750 4195
16960 5240  3720 880
14400 8300  880 3900
9990 8300  4280 3900
5355 5285  4200 1855
9680 5240  7280 880

numOfBlemishes: 0
