Container length: 24400
Container width: 12200
Boxes Volume: 2.92863325E8
Container Volume: 297680000
Utilization: 98.38192858102661

Packed Boxes: 15
format: x y length width
0 0  17350 3280
0 7485  17750 4715
0 3280  10720 1995
0 5305  10720 2180
10720 3280  6605 1555
10720 4905  8060 2580
17350 0  7015 1540
17750 7730  5600 4470
17350 1540  6430 1880
17325 3420  4795 1320
18780 4970  3380 2760
23350 9900  880 2300
22160 3420  1080 4080
23350 7600  880 2300
23240 3420  1080 4080

numOfBlemishes: 0
