Container length: 24400
Container width: 12200
Boxes Volume: 2.79054784E8
Container Volume: 297680000
Utilization: 93.74320881483472

Packed Boxes: 25
format: x y length width
0 0  5387 4220
20680 0  3720 3365
20320 10320  4080 1880
0 10320  4080 1880
18000 9440  6400 880
0 9740  6580 580
5387 0  5950 5720
0 5720  3720 3580
11337 0  5945 5720
3720 5720  7580 3580
11300 5720  7580 3580
18880 3365  4880 5950
6580 9300  6580 980
4080 10320  14680 580
4080 10900  5720 680
9800 10900  6580 580
4080 11580  6580 580
17282 0  880 4220
0 4220  3580 850
10660 11480  7720 680
13160 9300  4220 880
18162 0  680 5720
23760 3365  580 5950
0 5070  4700 580
16380 10900  3580 580

numOfBlemishes: 0
