Container length: 24400
Container width: 12200
Boxes Volume: 2.931252E8
Container Volume: 297680000
Utilization: 98.46990056436442

Packed Boxes: 13
format: x y length width
0 0  12520 7630
0 7720  6890 4480
6890 7650  2970 4550
9860 8300  14420 3900
12520 0  5880 1880
12520 1880  2970 4550
12520 6445  4200 1855
15490 1880  4320 4050
18400 0  5880 1880
16720 6020  4080 2280
19810 1880  2280 4080
22090 1880  2280 4080
20800 6020  3580 2280

numOfBlemishes: 0
