Container length: 24400
Container width: 12200
Boxes Volume: 2.9497875E8
Container Volume: 297680000
Utilization: 99.09256584251546

Packed Boxes: 13
format: x y length width
0 0  4780 7680
0 7920  18080 4280
4780 0  18680 5280
4780 7040  14500 880
4780 6160  14420 880
4780 5280  3900 880
8680 5280  14780 880
18080 8690  5355 3510
18080 8110  4970 580
19280 6200  4190 1910
23435 8300  880 3900
23460 0  930 3900
23470 3900  930 3900

numOfBlemishes: 0
