Container length: 24400
Container width: 12200
Boxes Volume: 2.3583035E8
Container Volume: 297680000
Utilization: 79.22277277613544

Packed Boxes: 16
format: x y length width
0 0  23280 780
0 8520  9080 3680
0 780  5404 4700
0 8040  23280 480
0 6910  5000 1130
0 5910  5000 1000
5404 780  5404 4700
9080 8955  7810 3245
5000 6910  4080 1130
5000 5730  2580 1180
10808 780  5404 4700
7580 6000  2580 910
9080 7130  2580 910
16890 8530  4960 3670
16212 780  5403 4700
21615 780  880 5620

numOfBlemishes: 0
