Container length: 24400
Container width: 12200
Boxes Volume: 2.9533155E8
Container Volume: 297680000
Utilization: 99.21108237033056

Packed Boxes: 18
format: x y length width
0 0  4220 5080
15900 0  8500 5620
15680 8300  8720 3900
0 5090  5355 7110
16080 6220  8320 2080
4220 0  8720 3900
5355 8600  3400 3600
14680 5620  9720 580
4220 3900  4080 1080
13000 0  2900 5590
8790 7720  6890 4480
5355 5000  3400 3600
8300 3900  2100 880
9810 6270  6270 1450
8755 5220  880 2500
10400 3900  2500 880
9635 4780  3300 880
9635 5660  4970 580

numOfBlemishes: 0
