Container length: 24400
Container width: 12200
Boxes Volume: 2.937467E8
Container Volume: 297680000
Utilization: 98.67868180596614

Packed Boxes: 18
format: x y length width
0 0  7710 5180
19230 0  5170 5810
19600 6490  4800 5710
0 5840  3370 6360
3370 6390  5170 5810
15850 6490  3750 5710
16520 0  2710 5670
0 5180  9080 630
16000 5810  8400 680
7710 0  7710 1080
15440 0  1080 5710
8540 6530  6210 5670
14770 5970  1080 6230
7710 1080  3580 4030
3370 5810  6900 580
14360 1080  1080 4210
11330 1080  3030 4200
10560 5290  4210 1080

numOfBlemishes: 0
