Container length: 24400
Container width: 12200
Boxes Volume: 2.941083E8
Container Volume: 297680000
Utilization: 98.80015452835258

Packed Boxes: 16
format: x y length width
0 0  4330 3670
14220 0  10180 4310
19690 6530  4710 5670
0 5590  1080 6610
1080 6530  7710 5670
0 3670  11640 1080
13810 4310  10590 1080
4330 0  2210 3670
14510 6490  5180 5710
0 4750  11440 680
13810 5390  10590 1080
1080 5430  9910 1080
6540 0  5610 3570
8790 6530  5710 5670
12310 0  1910 3570
11710 3570  2100 2830

numOfBlemishes: 0
