Container length: 24400
Container width: 12200
Boxes Volume: 2.949396E8
Container Volume: 297680000
Utilization: 99.07941413598496

Packed Boxes: 11
format: x y length width
0 0  5390 880
0 5420  8580 6780
0 880  13420 880
0 1760  14920 3580
5390 0  17180 880
8580 8820  14920 3380
8580 5440  14920 3380
13420 880  9500 880
14920 1760  7920 3680
22920 0  1480 5080
23500 5610  880 6590

numOfBlemishes: 0
