Container length: 24400
Container width: 12200
Boxes Volume: 2.875053E8
Container Volume: 297680000
Utilization: 96.58200080623487

Packed Boxes: 10
format: x y length width
0 0  5780 1080
0 11620  17880 580
0 7040  19910 4580
0 1080  19910 5880
5780 0  17330 680
17880 11620  6460 580
19910 5610  4400 6010
19910 680  3160 3470
23110 0  1280 4580
19910 4580  4210 910

numOfBlemishes: 0
