Container length: 24400
Container width: 12200
Boxes Volume: 2.940955E8
Container Volume: 297680000
Utilization: 98.79585460897607

Packed Boxes: 11
format: x y length width
0 0  5720 5580
0 5620  5580 6580
5580 6620  6580 5580
5720 0  9870 5950
5580 6040  6580 580
12160 6480  5650 5720
15590 0  2060 6400
17650 0  580 5950
17810 6620  6580 5580
18230 0  5580 6580
23810 0  580 6580

numOfBlemishes: 0
