Container length: 24400
Container width: 12200
Boxes Volume: 2.968454E8
Container Volume: 297680000
Utilization: 99.71963181940339

Packed Boxes: 15
format: x y length width
0 0  5670 8610
19220 0  5180 5710
21200 9170  3200 3030
0 8630  7710 3570
16320 5740  8080 3430
19300 9170  1900 3030
11800 9170  7500 3030
10410 0  8810 1080
5670 0  4740 8600
16560 1080  2660 1080
10410 2160  8810 3570
7710 8620  4030 3580
10450 1080  6110 1080
11990 5740  4330 3430
10410 5740  1580 2880

numOfBlemishes: 0
