Container length: 24400
Container width: 12200
Boxes Volume: 2.958368E8
Container Volume: 297680000
Utilization: 99.38081160978231

Packed Boxes: 16
format: x y length width
0 0  5600 3030
0 6520  6780 5680
0 3030  6890 1580
0 4610  6890 1880
5600 0  7700 3030
6780 6520  6780 5680
6890 3030  7080 1500
6890 4530  7210 1930
13300 0  7700 3030
13560 7490  5670 4710
13970 3030  6610 1080
14100 4110  7080 3380
19230 7680  5170 4520
21000 0  3390 3210
20580 3210  3780 880
21180 4090  3210 3570

numOfBlemishes: 0
