Container length: 24400
Container width: 12200
Boxes Volume: 2.946755E8
Container Volume: 297680000
Utilization: 98.99069470572427

Packed Boxes: 16
format: x y length width
0 0  3030 7500
0 8620  7080 3580
3030 0  7080 5680
0 7540  9270 1080
7080 8620  5710 3580
3030 6460  6110 1080
3030 5680  6780 730
10110 0  7080 5680
12790 6500  4480 5700
9270 6410  3430 2210
9810 5680  7710 680
17190 0  7080 5680
17270 8620  7080 3580
17270 6410  3670 2210
17520 5680  6710 680
20940 6410  3430 2210

numOfBlemishes: 0
