Container length: 24400
Container width: 12200
Boxes Volume: 2.884057E8
Container Volume: 297680000
Utilization: 96.88447325987639

Packed Boxes: 18
format: x y length width
0 0  5080 8820
22220 0  2180 10720
0 9080  5380 3120
20660 10720  3740 1480
13090 0  9130 5850
14260 7545  7960 3175
16920 10720  3740 1480
5080 0  5035 4360
5380 6240  6120 5960
18140 6065  4080 1480
13180 10720  3740 1480
5080 4360  6430 1880
10115 0  2120 2180
14400 6065  3740 1480
11700 8460  1480 3740
13180 6430  1080 4290
10115 2180  2760 2080
11610 4720  1480 3740

numOfBlemishes: 0
