BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Others3,1,1,001864009,0,0,90,447.0,588.0,2.62836E7,0,0
Others3,1,1,001751069,19365,0,90,436.0,503.5,2.19526E7,0,0
Others3,1,1,000767015,16340,6540,0,806.0,566.0,4.56196E7,0,0
Others3,1,1,001756074,0,4550,90,765.0,1130.0,8.6445E7,0,0
Others3,1,1,001795113,16570,4360,0,783.0,218.0,1.70694E7,0,0
Others3,1,1,001752070,14330,0,90,436.0,503.5,2.19526E7,0,0
Others3,1,1,001753071,5880,0,90,436.0,503.5,2.19526E7,0,0
Others3,1,1,001754072,11305,7840,90,436.0,503.5,2.19526E7,0,0
Others3,1,1,000783031,11750,0,90,596.0,258.0,1.53768E7,0,0
Others3,1,1,001865010,10915,0,90,447.0,78.0,3486600.0,0,0
Others3,1,1,000807019,14390,4360,90,212.0,218.0,4621600.0,0,0
Others3,1,1,001760078,11545,6520,90,132.0,479.5,6329400.0,0,0
Others3,2,1,000771019,0,0,0,1734.0,328.0,5.68752E7,0,0
Others3,2,1,000813025,7050,8920,0,1735.0,328.0,5.6908E7,0,0
Others3,2,1,001782100,19020,0,90,783.0,538.0,4.21254E7,0,0
Others3,2,1,001715033,0,3380,90,882.0,538.0,4.74516E7,0,0
Others3,2,1,001683001,17970,7840,0,643.0,108.0,6944400.0,0,0
Others3,2,1,001687005,5380,5770,90,643.0,108.0,6944400.0,0,0
Others3,2,1,001796114,18140,0,90,783.0,88.0,6890400.0,0,0
Others3,2,1,001685003,17360,0,90,643.0,78.0,5015400.0,0,0
Others3,2,1,000815027,6460,5720,90,648.0,48.0,3110400.0,0,0
Others3,2,1,001714032,5380,3280,0,882.0,78.0,6879600.0,0,0
Others3,2,1,001733051,5380,4060,0,408.0,148.0,6038400.0,0,0
Others3,2,1,001763081,13680,7840,0,429.0,108.0,4633200.0,0,0
Others3,2,1,000763011,6940,5540,0,566.0,338.0,1.91308E7,0,0
Others3,2,1,001785103,14240,3280,0,312.0,338.0,1.05456E7,0,0
Others3,2,1,001768086,13760,6760,0,438.0,108.0,4730400.0,0,0
Others3,2,1,001738056,9460,4060,0,408.0,148.0,6038400.0,0,0
Others3,2,1,001776094,12600,5800,90,312.0,108.0,3369600.0,0,0
Others3,3,1,000760008,0,0,0,796.0,316.5,2.51934E7,0,0
Others3,3,1,001861006,15270,6320,0,913.0,588.0,5.36844E7,0,0
Others3,3,1,001870015,0,6350,0,913.0,585.0,5.34105E7,0,0
Others3,3,1,000757005+000782030,10120,0,0,1428.0,346.0,4.94088E7,0,0
Others3,3,1,000794006,0,3165,0,796.0,317.5,2.5273E7,0,0
Others3,3,1,000809021,10190,3460,0,1421.0,218.0,3.09778E7,0,0
Others3,3,1,000785033,15520,5640,0,888.0,68.0,6038400.0,0,0
Others3,3,1,000754002,7960,0,90,566.0,208.0,1.17728E7,0,0
Others3,3,1,000803015,9150,6240,0,612.0,596.0,3.64752E7,0,0
Others3,3,1,000817029,7960,5660,0,648.0,48.0,3110400.0,0,0
Others3,4,1,001692010,0,0,90,643.0,188.0,1.20884E7,0,0
Others3,4,1,000793005,16440,0,0,796.0,612.0,4.87152E7,0,0
Others3,4,1,001689007,1820,10020,0,2258.0,218.0,4.92244E7,0,0
Others3,4,1,000753001,0,6540,90,566.0,173.0,9791800.0,0,0
Others3,4,1,001722040,1880,0,0,882.0,508.0,4.48056E7,0,0
Others3,4,1,001786104,10180,6900,0,1422.0,312.0,4.43664E7,0,0
Others3,4,1,000765013,1730,6640,0,842.0,338.0,2.84596E7,0,0
Others3,4,1,001866011,15270,6120,0,913.0,78.0,7121400.0,0,0
Others3,4,1,001743061,1880,5080,0,408.0,148.0,6038400.0,0,0
Others3,4,1,000758006,10780,0,0,566.0,596.0,3.37336E7,0,0
Others3,4,1,001762080,5960,5080,90,132.0,479.5,6329400.0,0,0
Others3,4,1,001873018,10800,6020,0,447.0,88.0,3933600.0,0,0
Others3,5,1,001721039,0,0,0,1681.0,508.0,8.53948E7,0,0
Others3,5,1,001869014,19930,6320,0,447.0,588.0,2.62836E7,0,0
Others3,5,1,001719037,0,6820,0,882.0,538.0,4.74516E7,0,0
Others3,5,1,001779097,21280,0,0,312.0,538.0,1.67856E7,0,0
Others3,5,1,001755073,16920,0,0,436.0,503.5,2.19526E7,0,0
Others3,5,1,000791003,11610,8820,0,832.0,338.0,2.81216E7,0,0
Others3,5,1,000780028,0,5080,0,276.0,153.0,4222800.0,0,0
Others3,5,1,001874019,19930,5380,0,447.0,88.0,3933600.0,0,0
Others3,5,1,000755003,2760,5080,0,566.0,173.0,9791800.0,0,0
Others3,5,1,001805123,9210,6640,0,1072.0,218.0,2.33696E7,0,0
Others3,5,1,000773021,8820,8820,0,276.0,338.0,9328800.0,0,0
Others3,5,1,001731049,16190,5080,0,374.0,148.0,5535200.0,0,0
Others3,5,1,001735053,12450,5080,0,374.0,148.0,5535200.0,0,0
Others3,5,1,001736054,8420,5080,0,374.0,148.0,5535200.0,0,0
Others3,6,1,001802120,0,0,0,846.0,1072.0,9.06912E7,0,0
Others3,6,1,001759077,19605,0,90,1130.0,479.5,5.41835E7,0,0
Others3,6,1,000787035,0,11830,0,888.0,37.0,3285600.0,0,0
Others3,6,1,001875020,15270,11320,0,913.0,88.0,8034400.0,0,0
Others3,6,1,001712030,0,10750,0,882.0,108.0,9525600.0,0,0
Others3,6,1,001887032,14035,0,90,913.0,557.0,5.08541E7,0,0
Others3,6,1,000779027,16845,9240,0,276.0,208.0,5740800.0,0,0
Others3,6,1,001765083,12765,10240,0,408.0,108.0,4406400.0,0,0
Others3,6,1,001888033,8460,0,90,913.0,557.0,5.08541E7,0,0
Others3,6,1,001740058,8880,10720,0,374.0,148.0,5535200.0,0,0
Others3,6,1,000821033,12790,11720,0,248.0,48.0,1190400.0,0,0
Others3,6,1,001767085,12555,9160,0,429.0,108.0,4633200.0,0,0
Others3,6,1,001741059,8460,9240,0,374.0,148.0,5535200.0,0,0
Others3,7,1,001808126,0,0,0,1072.0,199.5,2.13864E7,0,0
Others3,7,1,001809127,13680,10205,0,1072.0,199.5,2.13864E7,0,0
Others3,7,1,000777025,0,9620,0,806.0,258.0,2.07948E7,0,0
Others3,7,1,000789001,18280,0,0,612.0,338.0,2.06856E7,0,0
Others3,7,1,000797009,0,1995,0,612.0,338.0,2.06856E7,0,0
Others3,7,1,001804122,15760,8025,0,864.0,218.0,1.88352E7,0,0
Others3,7,1,001783101,0,6500,90,312.0,538.0,1.67856E7,0,0
Others3,7,1,000800012,18280,3380,0,612.0,208.0,1.27296E7,0,0
Others3,7,1,001694012,17970,6145,0,643.0,188.0,1.20884E7,0,0
Others3,7,1,001780098,0,5375,0,312.0,108.0,3369600.0,0,0
Others3,7,1,001791109,15085,0,90,312.0,319.5,9968400.0,0,0
Others3,7,1,001792110,5380,6500,90,312.0,319.5,9968400.0,0,0
Others3,7,1,000778026,8060,10270,0,276.0,193.0,5326800.0,0,0
Others3,7,0,000756004,6120,1995,0,566.0,338.0,1.91308E7,0,0
Others3,7,0,001766084,3120,5375,0,408.0,108.0,4406400.0,0,0
Others3,7,0,000816028,11980,3120,0,630.0,88.0,5544000.0,0,0
Others3,7,0,001790108,11890,0,90,312.0,319.5,9968400.0,0,0
Others3,7,0,001693011,11850,4000,0,643.0,188.0,1.20884E7,0,0
Others3,7,0,001734052,8575,6190,90,408.0,148.0,6038400.0,0,0
Others3,7,0,000810022,15790,5905,90,212.0,218.0,4621600.0,0,0
Others3,7,0,001506042,11180,7949,0,458.0,225.67,1.0335686E7,0,0
Others3,7,0,000812024,11560,10205,0,212.0,199.5,4229400.0,0,0
Others3,7,0,001771089,10055,6190,90,408.0,108.0,4406400.0,0,0
Others3,7,0,001863008,7200,5375,0,447.0,78.0,3486600.0,0,0
Others3,7,0,001806124,12610,5954,0,318.0,199.5,6344100.0,0,0
Others3,7,0,001773091,11135,6299,90,165.0,125.0,2062500.0,0,0
Others3,8,1,001798116,23720,0,90,679.0,68.0,4617200.0,0,0
Others3,8,1,001718036,1220,6820,0,2318.0,538.0,1.247084E8,0,0
Others3,8,1,001868013,440,0,0,2328.0,588.0,1.368864E8,0,0
Others3,8,1,001876021,14590,5940,0,913.0,88.0,8034400.0,0,0
Others3,8,1,001794112,10,5940,0,1458.0,88.0,1.28304E7,0,0
Others3,8,1,001772090,140,7820,90,438.0,108.0,4730400.0,0,0
Others3,9,1,001686004,17970,0,0,643.0,218.0,1.40174E7,0,0
Others3,9,1,001877022,1120,6320,0,2328.0,588.0,1.368864E8,0,0
Others3,9,1,001690008,17970,2180,0,643.0,218.0,1.40174E7,0,0
Others3,9,1,001696014,17970,4360,0,643.0,188.0,1.20884E7,0,0
Others3,9,1,001788106,3390,0,0,1458.0,338.0,4.92804E7,0,0
Others3,9,1,001800118,3290,3380,0,1468.0,68.0,9982400.0,0,0
Others3,9,1,001793111,3390,4060,0,1458.0,218.0,3.17844E7,0,0
Others3,9,1,001789107,10,0,90,312.0,338.0,1.05456E7,0,0
Others3,9,1,001716034,40,3380,90,882.0,108.0,9525600.0,0,0
Others3,9,1,001807125,1295,3120,90,318.0,199.5,6344100.0,0,0
Others3,10,1,001889034,0,0,0,913.0,557.0,5.08541E7,0,0
Others3,10,1,000801013+000804016+000819031+001778096,12120,0,0,1228.0,415.5,5.10234E7,0,0
Others3,10,1,000811023,10550,10080,0,1385.0,212.0,2.9362E7,0,0
Others3,10,1,000768016,0,9025,0,806.0,317.5,2.55905E7,0,0
Others3,10,1,001758076,13100,4900,0,1130.0,518.0,5.8534E7,0,0
Others3,10,1,000775023,0,5645,0,806.0,338.0,2.72428E7,0,0
Others3,10,1,001820138,13320,4155,0,1108.0,68.0,7534400.0,0,0
Others3,10,1,000799011,8060,6080,90,612.0,248.0,1.51776E7,0,0
Others3,10,1,001745063,9130,0,90,374.0,148.0,5535200.0,0,0
Others3,10,1,001748066,10610,0,90,408.0,148.0,6038400.0,0,0
Others3,10,1,001770088,10540,6000,90,408.0,108.0,4406400.0,0,0
Others3,10,1,001746064,9130,4155,0,374.0,148.0,5535200.0,0,0
Others3,10,1,001750068,11620,6340,90,374.0,148.0,5535200.0,0,0
Others3,11,0,001885030,0,0,90,447.0,560.0,2.5032E7,0,0
Others3,11,0,000764012,15980,0,0,842.0,338.0,2.84596E7,0,0
Others3,11,0,001484020,4350,7625,0,2005.0,457.5,9.172875E7,0,0
Others3,11,0,001460050,0,6660,90,554.0,394.75,2.186915E7,0,0
Others3,11,0,000776024,21640,3380,0,276.0,338.0,9328800.0,0,0
Others3,11,0,001727045,0,4470,90,209.25,460.0,9625500.0,0,0
Others3,11,0,001867012,15270,6845,0,913.0,78.0,7121400.0,0,0
Others3,11,0,001529065,5600,0,0,555.0,457.5,2.539125E7,0,0
Others3,11,0,000766014,15980,3380,0,566.0,338.0,1.91308E7,0,0
Others3,11,0,001739057,11900,0,0,408.0,148.0,6038400.0,0,0
Others3,11,0,001821139,3947,6845,0,1090.0,78.0,8502000.0,0,0
Others3,11,0,002032065,4600,4575,0,655.5,225.0,1.474875E7,0,0
Others3,11,0,001880025,11270,1480,90,485.0,471.0,2.28435E7,0,0
Others3,12,0,000774022,0,0,0,871.0,338.0,2.94398E7,0,0
Others3,12,0,000790002,15690,8820,0,871.0,338.0,2.94398E7,0,0
Others3,12,0,001757075,0,7020,0,783.0,518.0,4.05594E7,0,0
Others3,12,0,002013046,12850,0,0,1155.0,365.0,4.21575E7,0,0
Others3,12,0,000784032,15690,5450,0,871.0,337.0,2.93527E7,0,0
Others3,12,0,000759007,0,3380,0,832.0,337.0,2.80384E7,0,0
Others3,12,0,004370069,17385,3650,0,701.5,154.0,1.08031E7,0,0
Others3,12,0,001781099,7830,6820,0,783.0,538.0,4.21254E7,0,0
Others3,12,0,001461051,8710,0,90,554.0,394.75,2.186915E7,0,0
Others3,12,0,001744062,13305,3650,0,408.0,148.0,6038400.0,0,0
Others3,12,0,000818030,8320,5940,0,630.0,88.0,5544000.0,0,0
Others3,13,0,004407106,0,0,0,663.0,483.0,3.20229E7,0,0
Others3,13,0,001882027,6650,0,0,1775.0,471.5,8.369125E7,0,0
Others3,13,0,001862007,1120,6320,0,2328.0,588.0,1.368864E8,0,0
Others3,13,0,000798010,0,6080,90,612.0,98.0,5997600.0,0,0
Others3,13,0,000814026,7050,4715,0,1735.0,78.0,1.3533E7,0,0
Others3,13,0,000820032,0,4830,0,230.0,88.0,2024000.0,0,0
Others3,13,0,000772020,7060,5495,0,1734.0,78.0,1.35252E7,0,0
Others3,13,0,001749067,2300,4830,0,408.0,148.0,6038400.0,0,0
Others3,14,0,001884029,0,0,90,913.0,560.0,5.1128E7,0,0
Others3,14,0,001883028,6650,0,0,1775.0,471.5,8.369125E7,0,0
Others3,14,0,001462052,18860,8253,0,554.0,394.75,2.186915E7,0,0
Others3,14,0,002022055,0,9150,0,631.0,305.0,1.92455E7,0,0
Others3,14,0,000792004,18280,4873,0,612.0,338.0,2.06856E7,0,0
Others3,14,0,002011044,7310,8545,0,1155.0,365.5,4.221525E7,0,0
Others3,14,0,000786034,5600,0,90,870.0,88.0,7656000.0,0,0
Others3,14,0,001784102,6310,9080,90,312.0,78.0,2433600.0,0,0
Others3,14,0,002012045,6730,4890,0,1155.0,365.5,4.221525E7,0,0
Others3,15,0,000802014,21030,0,90,871.0,337.0,2.93527E7,0,0
Others3,15,0,000808020,9410,10020,0,1499.0,218.0,3.26782E7,0,0
Others3,15,0,000822034,22100,9140,0,230.0,88.0,2024000.0,0,0
Others3,15,0,001487023,980,0,0,2005.0,457.5,9.172875E7,0,0
Others3,15,0,001801119,7600,9240,0,1450.0,78.0,1.131E7,0,0
Others3,15,0,001488024,980,4665,0,2005.0,457.5,9.172875E7,0,0
Others3,15,0,001803121,170,10020,0,924.0,218.0,2.01432E7,0,0
Others3,15,0,001691009,1170,9240,0,643.0,78.0,5015400.0,0,0
Others3,15,0,000788036,100,0,90,870.0,88.0,7656000.0,0,0
Others3,16,0,001878023,19685,0,90,485.0,471.5,2.286775E7,0,0
Others3,16,0,001881026,6650,7490,0,1775.0,471.0,8.36025E7,0,0
Others3,16,0,001720038,15580,6710,0,882.0,78.0,6879600.0,0,0
Others3,16,0,001486022,4655,0,0,1503.0,457.5,6.876225E7,0,0
Others3,16,0,004338037,17795,4850,0,660.5,155.5,1.0270775E7,0,0
Others3,16,0,001730048,13195,4575,90,209.25,460.0,9625500.0,0,0
Others3,16,0,001799117,8790,6710,0,679.0,78.0,5296200.0,0,0
Others3,16,0,001761079,8400,4575,90,132.0,479.5,6329400.0,0,0
Others3,16,0,001886031,8035,5930,90,78.0,516.0,4024800.0,0,0
Others3,16,0,004408107,40,7370,0,661.0,483.0,3.19263E7,0,0
Others3,16,0,001485021,80,0,90,508.0,457.5,2.3241E7,0,0
Others3,16,0,000781029,4655,4575,90,276.0,338.0,9328800.0,0,0
Others3,16,0,001507043,75,5114,0,458.0,225.67,1.0335686E7,0,0
Others3,17,0,001797115,1220,0,0,2318.0,88.0,2.03984E7,0,0
Others3,17,0,001725043,11425,7600,0,1297.5,460.0,5.9685E7,0,0
Others3,17,0,004384083,16825,880,0,757.5,320.0,2.424E7,0,0
Others3,17,0,001787105,9820,4080,0,1458.0,338.0,4.92804E7,0,0
Others3,17,0,004385084,9250,880,0,757.5,320.0,2.424E7,0,0
Others3,17,0,001530066,5875,7625,0,555.0,457.5,2.539125E7,0,0
Others3,17,0,001879024,4535,880,90,485.0,471.5,2.286775E7,0,0
Others3,17,0,001537073,325,7625,0,555.0,457.5,2.539125E7,0,0
Others3,17,0,001695013,3390,5745,0,643.0,188.0,1.20884E7,0,0
Others3,17,0,001508044,2279,880,90,458.0,225.67,1.0335686E7,0,0
Others3,17,0,002033066,29,880,90,655.5,225.0,1.474875E7,0,0
Others3,18,0,004371070,22860,0,90,701.5,154.0,1.08031E7,0,0
Others3,18,0,001726044,11425,7600,0,1297.5,460.0,5.9685E7,0,0
Others3,18,0,001688006,280,0,0,2258.0,218.0,4.92244E7,0,0
Others3,18,0,001717035,280,2180,0,2258.0,538.0,1.214804E8,0,0
Others3,18,0,001538074,5875,7625,0,555.0,457.5,2.539125E7,0,0
Others3,18,0,001539075,325,7625,0,555.0,457.5,2.539125E7,0,0
Others3,19,0,001463053,0,0,0,554.0,394.75,2.186915E7,0,0
Others3,19,0,004339038,17795,0,0,660.5,155.5,1.0270775E7,0,0
