Container length: 24400
Container width: 12200
Boxes Volume: 2.946121E8
Container Volume: 297680000
Utilization: 98.96939666756248

Packed Boxes: 17
format: x y length width
0 0  3670 2210
0 6230  17095 5970
0 2210  5430 3430
3670 0  7110 1080
3670 1080  6230 1080
0 5640  6900 580
5430 2160  13915 3370
10780 0  5710 1080
9900 1080  7710 1080
6900 5530  6710 680
16490 0  7710 1080
17095 5850  6410 6350
17610 1080  6410 1080
13610 5530  2980 680
19345 2160  4330 3670
23505 8320  880 3880
23675 2160  680 6140

numOfBlemishes: 0
