Container length: 24400
Container width: 12200
Boxes Volume: 2.924062E8
Container Volume: 297680000
Utilization: 98.22836603063693

Packed Boxes: 23
format: x y length width
0 0  5710 5170
0 8630  8610 3570
0 5200  5430 3430
5710 0  5810 5170
8610 8020  5270 4180
5430 6530  2830 2100
5430 5170  6610 1080
11520 0  5700 4480
8260 7340  8710 680
8260 6260  7710 1080
13880 8020  5090 4180
11520 4480  8400 680
12040 5160  7710 1080
17220 0  5710 3580
18970 6490  1080 5710
20050 6530  2980 5670
17220 3580  6180 880
15970 6260  2710 1080
22930 0  680 3580
23030 4490  680 7710
23610 0  680 4010
23710 4490  680 7710
19920 4460  3030 1900

numOfBlemishes: 0
