Container length: 24400
Container width: 12200
Boxes Volume: 2.7601976E8
Container Volume: 297680000
Utilization: 92.72364955657082

Packed Boxes: 23
format: x y length width
0 0  15720 3265
18780 7635  5620 4565
0 7500  5404 4700
18996 0  5404 4700
0 3265  4960 3670
17210 6455  7190 1180
15680 4700  8720 880
5404 7500  5404 4700
17866 0  1130 4080
15620 5580  8780 750
13780 11070  5000 1130
16866 0  1000 4080
15640 10160  3140 910
15986 0  880 2600
10920 5667  4700 5403
4960 3265  8720 780
4960 4045  5404 880
16460 6490  750 3670
4960 6620  5404 880
4960 4925  5440 780
15710 6490  750 3670
4960 5740  5404 880
11620 4045  4000 1550

numOfBlemishes: 0
