Container length: 24400
Container width: 12200
Boxes Volume: 2.916974E8
Container Volume: 297680000
Utilization: 97.99025799516258

Packed Boxes: 16
format: x y length width
13360 0  11040 580
18390 7620  6010 4580
3270 580  21130 5280
7070 7040  17330 580
2770 6460  21630 580
3990 5880  20410 580
12810 7630  5580 4570
7580 0  5780 580
6800 7620  6010 4580
1570 0  6010 580
1220 7320  5580 4880
2190 580  1080 5780
1110 580  1080 6460
640 7320  580 4880
30 0  1080 4880
60 6420  580 5780

numOfBlemishes: 0
