Container length: 24400
Container width: 12200
Boxes Volume: 2.928736E8
Container Volume: 297680000
Utilization: 98.38538027411985

Packed Boxes: 19
format: x y length width
0 0  10470 2990
18570 7060  5830 5140
0 3200  4080 9000
23000 0  1400 5750
10600 0  12400 2990
4080 9210  10230 2990
14000 2990  9000 2790
18860 5870  5540 1190
17180 11620  1390 580
17170 5870  1400 5750
4080 2990  1590 6050
15770 6450  1400 5750
14370 6450  1400 5750
5670 2990  5830 5140
5670 8200  5550 1010
14280 5870  2890 580
11280 8630  3090 580
12650 2990  1350 5540
11500 2990  1150 5540

numOfBlemishes: 0
