Container length: 24400
Container width: 12200
Boxes Volume: 2.9312562E8
Container Volume: 297680000
Utilization: 98.47004165546896

Packed Boxes: 16
format: x y length width
0 0  20980 3380
0 8511  3085 3689
3085 6200  17320 6000
0 3380  15120 1080
0 4601  3075 3910
3075 4460  15480 580
3075 5040  15220 580
3075 5620  18080 580
15120 3380  8820 880
20405 6810  880 5390
20980 0  2180 3380
21285 6888  3085 5312
18555 4260  5360 1080
23160 0  1080 3320
20405 6230  3900 580
21155 5340  2690 880

numOfBlemishes: 0
