Container length: 24400
Container width: 12200
Boxes Volume: 2.903313E8
Container Volume: 297680000
Utilization: 97.53134238108035

Packed Boxes: 17
format: x y length width
0 0  10170 3380
0 6620  6180 5580
0 3380  5670 3210
6180 7030  5810 5170
5670 3380  4740 3200
10170 0  7510 3330
11990 7680  5170 4520
10410 3330  7080 3580
11990 7000  4710 680
17160 7445  4680 4755
17680 0  6610 1080
17680 1080  6610 1080
17680 2160  5700 4480
21840 7490  680 4710
17490 6715  6780 730
22520 7460  1700 4740
23380 2160  680 4210

numOfBlemishes: 0
