Container length: 24400
Container width: 12200
Boxes Volume: 2.96277E8
Container Volume: 297680000
Utilization: 99.52868852459017

Packed Boxes: 16
format: x y length width
0 0  6200 4740
18690 0  5710 5430
20970 6530  3430 5670
0 6590  1080 5610
1080 6530  12060 5670
18870 9370  2100 2830
0 4740  10710 680
0 5420  6610 1080
18290 5430  6110 1080
13160 6530  5710 5670
10980 0  7710 680
6200 0  4700 4740
18870 6540  2100 2830
10980 680  7710 4070
10980 4750  7710 680
6650 5430  11640 1080

numOfBlemishes: 0
