Container length: 24400
Container width: 12200
Boxes Volume: 2.9396214E8
Container Volume: 297680000
Utilization: 98.75105482397205

Packed Boxes: 26
format: x y length width
0 0  2940 8172
0 9210  10470 2990
2940 0  4062 2940
0 8200  5550 1010
2940 2940  9000 2790
2940 7120  11450 1080
7002 0  8172 2940
2940 5770  5540 1350
5550 8200  5550 1010
10470 9260  8172 2940
8480 5770  5540 1350
11100 8250  5550 1010
11940 2940  5642 2740
15174 0  8172 2940
14390 7100  5540 1150
18642 9460  5642 2740
14020 5700  5750 1400
16650 8300  3378 960
17582 2940  5540 1190
17582 4130  5750 1400
20028 8500  3378 960
23346 0  1010 5550
20028 7540  3378 960
19930 6580  3488 960
19770 5530  3488 960
23418 5972  960 3488

numOfBlemishes: 0
