Container length: 24400
Container width: 12200
Boxes Volume: 2.911792E8
Container Volume: 297680000
Utilization: 97.81617844665412

Packed Boxes: 17
format: x y length width
0 0  8710 1080
18690 7020  5710 5180
0 7020  5710 5180
18590 0  5810 5170
0 1080  5170 5810
12960 5170  11440 680
15790 5940  8610 1080
5710 7030  5710 5170
12980 7030  5710 5170
12880 0  5710 5170
5170 1080  5600 3030
8710 0  3730 880
5170 4110  3670 2210
5170 6340  10180 680
11490 7040  1490 5160
10770 880  2110 3370
8840 4250  3570 1910

numOfBlemishes: 0
