Container length: 24400
Container width: 12200
Boxes Volume: 2.795150615E8
Container Volume: 297680000
Utilization: 93.89783038833646

Packed Boxes: 18
format: x y length width
0 0  20980 3380
6780 11320  17620 880
0 3620  3080 8580
21340 0  3060 7410
4470 10740  19930 580
6320 10160  18080 580
9180 9580  15220 580
19550 7730  4850 1850
3080 3740  880 8460
3960 6160  1830 4580
14920 3380  6420 2920
3960 3380  4580 1830
15501 6495  4049 3085
5790 6471  3085 3689
3960 5210  3900 580
8875 4750  5380 4830
14338 6495  1163 3085
8540 3380  5080 1080

numOfBlemishes: 0
