Container length: 24400
Container width: 12200
Boxes Volume: 2.885606635E8
Container Volume: 297680000
Utilization: 96.93653033458747

Packed Boxes: 24
format: x y length width
0 0  14920 3375
16680 8830  7720 3370
0 8825  7410 3375
17810 0  6590 3075
17810 3075  6590 3075
19820 6550  4580 2280
0 3375  6590 3075
0 6545  4580 2280
15530 0  2280 4580
7410 9920  4580 2280
15200 7120  1480 5080
7410 3375  7400 880
7410 4255  5880 5080
13290 4255  1080 3320
11990 9335  1280 2780
13290 7575  1280 4580
14370 4580  3380 2180
4580 6450  2690 880
16680 6760  2920 880
4580 7330  2780 1280
16680 7640  3085 1163
14570 6760  580 5080
14920 0  580 4580
7410 9335  4580 580

numOfBlemishes: 0
